baseline_label,sample_id,category,difficulty,answerable,required_claim_count,generated_claim_count,legacy_required_claim_coverage,legacy_citation_precision,legacy_citation_recall,unsupported_claim_count,context_required_claim_evidence_coverage
QWEN_CANARY_BASELINE,q014,experiment_setup,easy,True,3,3,0.3333333333333333,0.0,0.0,3,1.0
QWEN_CANARY_BASELINE,q020,limitations,easy,True,3,3,0.3333333333333333,1.0,0.5,0,1.0
QWEN_CANARY_BASELINE,q029,experiment_results,hard,True,3,3,0.0,0.0,0.0,3,1.0
QWEN_CANARY_BASELINE,q031,research_background,easy,True,3,3,0.3333333333333333,0.0,0.0,3,1.0
QWEN_CANARY_BASELINE,q032,paper_contributions,easy,True,3,3,0.3333333333333333,1.0,0.3333333333333333,0,1.0
QWEN_CANARY_BASELINE,q035,limitations,medium,True,3,3,0.0,0.0,0.0,3,1.0
QWEN_CANARY_BASELINE,q036,research_background,easy,True,3,3,0.3333333333333333,0.0,0.0,3,1.0
QWEN_CANARY_BASELINE,q037,paper_contributions,easy,True,3,3,0.3333333333333333,0.0,0.0,3,1.0
QWEN_CANARY_BASELINE,q044,experiment_setup,hard,True,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,1.0
QWEN_CANARY_BASELINE,q001,research_background,medium,True,3,3,0.0,0.0,0.0,3,1.0
QWEN_CANARY_BASELINE,q008,algorithm_steps,easy,True,3,3,0.3333333333333333,0.08333333333333333,0.25,2,1.0
QWEN_CANARY_BASELINE,q015,limitations,hard,True,3,2,0.0,0.0,0.0,2,1.0
QWEN_CANARY_BASELINE,q024,experiment_setup,hard,True,3,3,0.3333333333333333,1.0,0.25,0,1.0
QWEN_CANARY_BASELINE,q049,multi_paper_comparison,hard,True,3,3,0.3333333333333333,0.0,0.0,3,1.0
QWEN_CANARY_BASELINE,q005,unanswerable,easy,False,1,0,0.0,1.0,1.0,0,1.0
DEEPSEEK_CANARY_BASELINE,q014,experiment_setup,easy,True,3,3,0.0,0.0,0.0,3,1.0
DEEPSEEK_CANARY_BASELINE,q020,limitations,easy,True,3,3,0.6666666666666666,0.6666666666666666,0.5,1,1.0
DEEPSEEK_CANARY_BASELINE,q029,experiment_results,hard,True,3,3,0.3333333333333333,0.0,0.0,3,1.0
DEEPSEEK_CANARY_BASELINE,q031,research_background,easy,True,3,3,0.3333333333333333,0.0,0.0,3,1.0
DEEPSEEK_CANARY_BASELINE,q032,paper_contributions,easy,True,3,3,0.6666666666666666,1.0,0.3333333333333333,0,1.0
DEEPSEEK_CANARY_BASELINE,q035,limitations,medium,True,3,3,0.0,0.0,0.0,3,1.0
DEEPSEEK_CANARY_BASELINE,q036,research_background,easy,True,3,2,0.3333333333333333,0.0,0.0,2,1.0
DEEPSEEK_CANARY_BASELINE,q037,paper_contributions,easy,True,3,3,0.6666666666666666,0.0,0.0,3,1.0
DEEPSEEK_CANARY_BASELINE,q044,experiment_setup,hard,True,3,3,0.6666666666666666,0.5,0.6666666666666666,1,1.0
DEEPSEEK_CANARY_BASELINE,q001,research_background,medium,True,3,3,0.3333333333333333,0.0,0.0,3,1.0
DEEPSEEK_CANARY_BASELINE,q008,algorithm_steps,easy,True,3,2,0.3333333333333333,0.0,0.0,2,1.0
DEEPSEEK_CANARY_BASELINE,q015,limitations,hard,True,3,3,0.3333333333333333,0.0,0.0,3,1.0
DEEPSEEK_CANARY_BASELINE,q024,experiment_setup,hard,True,3,3,0.0,0.3333333333333333,0.25,2,1.0
DEEPSEEK_CANARY_BASELINE,q049,multi_paper_comparison,hard,True,3,3,0.3333333333333333,0.3333333333333333,0.2,1,1.0
DEEPSEEK_CANARY_BASELINE,q005,unanswerable,easy,False,1,0,0.0,1.0,1.0,0,1.0
