question_id,status,gold_answerable,predicted_answerable,gold_block_present,claim_count,citation_count,citation_precision,citation_recall,total_tokens,total_latency_ms,failure_reason
q001,COMPLETED,True,True,False,3,3,0.0,0.0,23382,4711.014,
q002,COMPLETED,True,True,False,3,4,0.0,0.0,9268,8216.745,
q003,COMPLETED,True,True,False,2,2,0.0,0.0,23295,4184.728,
q004,COMPLETED,True,True,True,3,6,0.16666666666666666,0.2,12562,3830.031,
q005,COMPLETED,False,False,False,0,0,1.0,1.0,8066,3991.823,
q006,COMPLETED,True,True,True,3,3,0.6666666666666666,0.6666666666666666,10748,4305.184,
q007,COMPLETED,True,True,False,3,3,0.0,0.0,11358,4698.831,
q008,COMPLETED,True,True,False,2,4,0.0,0.0,11297,3415.359,
q009,COMPLETED,True,True,True,3,8,0.25,0.16666666666666666,10495,6291.687,
q010,COMPLETED,True,True,True,3,5,0.2,0.5,9775,9074.642,
q011,COMPLETED,True,True,False,2,2,0.0,0.0,11175,3702.885,
q012,COMPLETED,True,True,False,3,3,0.0,0.0,9074,6607.284,
q013,COMPLETED,True,True,False,3,6,0.0,0.0,11708,3743.171,
q014,COMPLETED,True,True,False,3,3,0.0,0.0,7914,4562.224,
q015,COMPLETED,True,True,True,3,3,0.3333333333333333,0.3333333333333333,8229,4755.236,
q016,COMPLETED,True,True,False,3,3,0.0,0.0,12231,5723.226,
q017,COMPLETED,True,True,True,3,3,1.0,1.0,11468,3648.908,
q018,COMPLETED,True,True,False,3,3,0.0,0.0,14047,3422.947,
q019,COMPLETED,True,True,True,3,4,0.5,0.25,14447,4898.663,
q020,COMPLETED,True,True,True,3,3,0.6666666666666666,0.5,13278,6085.237,
q021,COMPLETED,True,True,False,3,3,0.0,0.0,12224,7463.543,
q022,COMPLETED,True,True,True,3,4,0.25,0.25,11555,4170.445,
q023,COMPLETED,True,True,False,3,5,0.0,0.0,9868,4874.193,
q024,COMPLETED,True,True,True,3,6,0.16666666666666666,0.25,7775,9435.819,
q025,COMPLETED,True,True,True,3,5,0.2,0.25,10210,5875.161,
q026,COMPLETED,True,True,False,2,2,0.0,0.0,10209,5209.532,
q027,COMPLETED,True,True,False,3,3,0.0,0.0,8064,3141.88,
q028,COMPLETED,True,True,False,3,6,0.0,0.0,8185,3296.821,
q029,COMPLETED,True,True,False,3,6,0.0,0.0,7647,4329.582,
q030,COMPLETED,False,False,False,0,0,1.0,1.0,8141,4325.306,
q031,COMPLETED,True,True,False,3,3,0.0,0.0,11313,4507.907,
q032,COMPLETED,True,True,True,3,3,1.0,0.3333333333333333,8409,5179.593,
q033,COMPLETED,True,True,False,2,2,0.0,0.0,9981,3312.228,
q034,COMPLETED,True,True,True,3,3,1.0,0.3333333333333333,11182,5147.666,
q035,COMPLETED,True,True,False,3,3,0.0,0.0,10310,5376.089,
q036,COMPLETED,True,True,False,2,3,0.0,0.0,8881,3881.715,
q037,COMPLETED,True,True,False,3,3,0.0,0.0,12700,3558.35,
q038,COMPLETED,True,True,True,2,2,0.5,0.25,7617,3723.101,
q039,COMPLETED,True,True,False,3,6,0.0,0.0,9819,6055.509,
q040,COMPLETED,True,True,False,3,3,0.0,0.0,11336,3700.782,
q041,COMPLETED,True,True,False,3,3,0.0,0.0,9196,3200.948,
q042,COMPLETED,True,True,False,3,3,0.0,0.0,8376,3695.496,
q043,COMPLETED,True,True,False,3,3,0.0,0.0,8924,7002.434,
q044,COMPLETED,True,True,True,3,4,0.5,0.6666666666666666,8298,5055.676,
q045,COMPLETED,True,True,True,3,3,0.6666666666666666,0.6666666666666666,11455,4663.257,
q046,COMPLETED,True,True,False,2,2,0.0,0.0,9098,7293.329,
q047,COMPLETED,True,True,True,3,3,1.0,0.3333333333333333,6839,5229.921,
q048,COMPLETED,True,True,False,1,1,0.0,0.0,9366,3598.549,
q049,COMPLETED,True,True,True,3,6,0.3333333333333333,0.2,9637,4019.46,
q050,COMPLETED,True,True,True,3,6,0.16666666666666666,0.2,8978,4735.616,
