question_id,category,difficulty,answerable,context_block_count,context_chunk_count,context_tokens,gold_block_context_hit,gold_page_context_hit,required_claim_evidence_coverage,retrieval_latency_ms
q001,research_background,medium,True,475,20,8085,True,True,1.0,1845.973
q002,paper_contributions,easy,True,224,20,7596,True,True,1.0,1703.956
q003,method,hard,True,466,20,8094,True,True,1.0,1146.409
q004,experiment_setup,hard,True,440,20,7550,True,True,1.0,1493.369
q005,unanswerable,easy,False,448,20,8041,,,1.0,1454.788
q006,research_background,medium,True,201,20,7565,True,True,1.0,1510.57
q007,paper_contributions,hard,True,304,20,8093,True,True,1.0,1971.79
q008,algorithm_steps,easy,True,223,20,8023,True,True,1.0,1137.897
q009,experiment_results,easy,True,186,20,7977,True,True,1.0,1653.32
q010,limitations,hard,True,189,20,7403,True,True,1.0,1709.187
q011,research_background,medium,True,225,20,7879,True,True,1.0,1067.543
q012,paper_contributions,hard,True,181,20,7899,True,True,1.0,1408.687
q013,method,easy,True,234,20,8105,True,True,1.0,1433.53
q014,experiment_setup,easy,True,126,20,7962,True,True,1.0,1103.797
q015,limitations,hard,True,169,20,7811,True,True,1.0,3546.622
q016,research_background,easy,True,289,20,6187,False,True,1.0,1427.032
q017,paper_contributions,easy,True,425,20,6892,True,True,1.0,1438.922
q018,algorithm_steps,hard,True,317,20,6520,False,False,1.0,1218.646
q019,experiment_results,hard,True,361,20,7583,True,True,1.0,1531.21
q020,limitations,easy,True,295,20,6764,True,True,1.0,1417.899
q021,research_background,medium,True,268,20,8342,False,False,1.0,1067.368
q022,paper_contributions,easy,True,190,20,7662,True,True,1.0,1066.271
q023,method,hard,True,242,20,7590,True,True,1.0,2434.989
q024,experiment_setup,hard,True,132,20,7456,True,True,1.0,1266.945
q025,limitations,hard,True,176,20,8184,True,True,1.0,1506.974
q026,research_background,easy,True,163,20,8033,False,False,1.0,1119.277
q027,paper_contributions,easy,True,156,20,6877,True,True,1.0,1086.129
q028,algorithm_steps,hard,True,140,20,7913,True,True,1.0,1405.729
q029,experiment_results,hard,True,220,20,7677,True,True,1.0,1505.228
q030,unanswerable,easy,False,130,20,7883,,,1.0,1560.033
q031,research_background,easy,True,188,20,6847,False,True,1.0,1190.969
q032,paper_contributions,easy,True,185,20,6395,True,True,1.0,1031.342
q033,method,hard,True,182,20,6381,False,True,1.0,1412.409
q034,experiment_setup,hard,True,195,20,5786,True,True,1.0,1431.703
q035,limitations,medium,True,172,20,6321,False,True,1.0,1391.721
q036,research_background,easy,True,232,20,7635,True,True,1.0,1469.755
q037,paper_contributions,easy,True,285,20,8437,True,True,1.0,1569.811
q038,algorithm_steps,hard,True,203,20,7427,True,True,1.0,1653.364
q039,experiment_results,hard,True,276,20,8411,False,False,1.0,1500.135
q040,limitations,hard,True,174,20,8029,True,True,1.0,1327.888
q041,research_background,easy,True,167,20,5750,True,True,1.0,1581.624
q042,paper_contributions,easy,True,216,20,5477,True,True,1.0,1498.694
q043,method,hard,True,227,20,6092,False,True,1.0,1420.812
q044,experiment_setup,hard,True,131,20,6138,True,True,1.0,1494.797
q045,limitations,hard,True,249,20,6655,True,True,0.6666666666666666,1537.562
q046,research_background,easy,True,166,20,6789,True,True,1.0,1262.934
q047,paper_contributions,medium,True,125,20,7021,True,True,1.0,1753.65
q048,algorithm_steps,hard,True,152,20,6477,True,True,1.0,1727.447
q049,multi_paper_comparison,hard,True,182,20,8914,True,True,1.0,1692.1
q050,multi_paper_comparison,hard,True,144,20,8006,True,True,1.0,1784.95
