any_hit_at_10,benchmark_sample_id,claim_type,core_hit_at_10,dense_rank,failure_category,hybrid_rank,question_id,required_claim_id,sparse_rank,split
True,retrieval-benchmark-v1-001,explain_method,False,2,GOLD_LABEL_ISSUE,1,q001,cl-q001-b93fe64266ba6940d2a1,1,leave_one_paper_group_out
True,retrieval-benchmark-v1-002,explain_method,True,2,,1,q001,cl-q001-bc33bddd93356fce6273,2,leave_one_paper_group_out
True,retrieval-benchmark-v1-003,explain_method,False,3,GOLD_LABEL_ISSUE,1,q001,cl-q001-c41ea3191cab92907d83,3,leave_one_paper_group_out
True,retrieval-benchmark-v1-004,unknown,True,,,2,q002,cl-q002-023231b350a389faa754,1,leave_one_paper_group_out
True,retrieval-benchmark-v1-005,unknown,True,,,2,q002,cl-q002-3cab1a55474dcd47a64a,1,leave_one_paper_group_out
True,retrieval-benchmark-v1-006,report_result,True,,,2,q002,cl-q002-8a1d729edcaafb379a20,1,leave_one_paper_group_out
True,retrieval-benchmark-v1-007,unknown,True,3,,1,q004,cl-q004-a9fa27d46042c7d9ac2b,1,leave_one_paper_group_out
True,retrieval-benchmark-v1-008,explain_method,True,,,4,q004,cl-q004-ba317f113c67f72f7260,2,leave_one_paper_group_out
True,retrieval-benchmark-v1-009,unknown,True,3,,2,q004,cl-q004-fe7e6b540d1b2bf1d6cf,1,leave_one_paper_group_out
True,retrieval-benchmark-v1-010,explain_method,True,,,5,q007,cl-q007-0dc4946bfe1085fe36ce,2,leave_one_paper_group_out
True,retrieval-benchmark-v1-011,explain_method,True,,,4,q007,cl-q007-0dda2c31fef09b05c68b,2,leave_one_paper_group_out
True,retrieval-benchmark-v1-012,report_result,True,,,2,q007,cl-q007-51d53fc4250379d38e16,1,leave_one_paper_group_out
True,retrieval-benchmark-v1-013,explain_method,True,,,5,q008,cl-q008-3fcba63ce8d76f5cfc1d,3,leave_one_paper_group_out
True,retrieval-benchmark-v1-014,unknown,False,,GOLD_LABEL_ISSUE,2,q008,cl-q008-5fd8e23c8c061690cde0,1,leave_one_paper_group_out
True,retrieval-benchmark-v1-015,explain_method,True,,,4,q008,cl-q008-d73bc3c128270add0359,1,leave_one_paper_group_out
True,retrieval-benchmark-v1-016,unknown,True,,,5,q013,cl-q013-4a5420c3371111d7f5f3,3,leave_one_paper_group_out
True,retrieval-benchmark-v1-017,explain_method,False,,GOLD_LABEL_ISSUE,2,q013,cl-q013-938d2a4e18520c28a5d7,1,leave_one_paper_group_out
True,retrieval-benchmark-v1-018,unknown,True,,,2,q013,cl-q013-ed3f2a06305ea05d1b9e,1,leave_one_paper_group_out
True,retrieval-benchmark-v1-019,compare,True,,,3,q015,cl-q015-281a83daa0567f6ae7ac,2,leave_one_paper_group_out
True,retrieval-benchmark-v1-020,report_result,True,,,4,q015,cl-q015-34d9467bd693a8e1f141,2,leave_one_paper_group_out
True,retrieval-benchmark-v1-021,unknown,True,,,1,q015,cl-q015-fd7824b67e9a47f5aa88,1,leave_one_paper_group_out
True,retrieval-benchmark-v1-022,unknown,True,,,2,q019,cl-q019-2fef5549293d6f983f79,1,leave_one_paper_group_out
True,retrieval-benchmark-v1-023,explain_method,True,,,1,q019,cl-q019-409ecf7b2b8c09e348e6,1,leave_one_paper_group_out
True,retrieval-benchmark-v1-024,explain_method,True,,,2,q019,cl-q019-9d65c5779788321a4283,1,leave_one_paper_group_out
True,retrieval-benchmark-v1-025,explain_method,False,2,GOLD_LABEL_ISSUE,1,q050,cl-q050-96cfbcf597379dea6b6f,6,leave_one_paper_group_out
False,retrieval-benchmark-v1-026,explain_method,False,,DENSE_MISS,,q050,cl-q050-e6beec554909bcb0e6ba,11,leave_one_paper_group_out
True,retrieval-benchmark-v1-027,compare,False,2,GOLD_LABEL_ISSUE,1,q050,cl-q050-fcbcedc602ad451d727a,2,leave_one_paper_group_out
