question_id,category,difficulty,answerable,gold_in_context,context_count,context_estimated_tokens,latency_ms
q001,research_background,medium,True,False,4,3002,1794.598
q002,paper_contributions,easy,True,True,3,3002,1410.038
q003,method,hard,True,False,3,3001,2356.191
q004,experiment_setup,hard,True,True,3,3001,1952.051
q005,unanswerable,easy,False,False,3,3001,1443.547
q006,research_background,medium,True,True,3,3000,1226.52
q007,paper_contributions,hard,True,True,3,3000,1522.557
q008,algorithm_steps,easy,True,True,3,3000,1333.882
q009,experiment_results,easy,True,False,3,3000,1535.577
q010,limitations,hard,True,True,4,3001,1549.41
q011,research_background,medium,True,True,4,3002,1479.864
q012,paper_contributions,hard,True,False,3,3002,1799.338
q013,method,easy,True,True,3,3001,7240.025
q014,experiment_setup,easy,True,False,3,3002,2094.983
q015,limitations,hard,True,False,3,3002,1556.631
q016,research_background,easy,True,False,4,3002,1172.702
q017,paper_contributions,easy,True,True,4,3001,1643.408
q018,algorithm_steps,hard,True,False,3,3001,1731.713
q019,experiment_results,hard,True,False,4,3002,1827.169
q020,limitations,easy,True,True,4,3002,1434.97
q021,research_background,medium,True,False,3,3001,1650.455
q022,paper_contributions,easy,True,True,3,3001,1264.655
q023,method,hard,True,False,3,3001,1537.458
q024,experiment_setup,hard,True,False,3,3001,1261.964
q025,limitations,hard,True,True,3,3001,1104.052
q026,research_background,easy,True,False,3,3001,1378.264
q027,paper_contributions,easy,True,True,4,3001,1128.326
q028,algorithm_steps,hard,True,True,3,3001,2244.798
q029,experiment_results,hard,True,False,3,3001,1935.262
q030,unanswerable,easy,False,False,4,3001,1757.929
q031,research_background,easy,True,False,4,3001,1832.082
q032,paper_contributions,easy,True,True,5,3001,1599.476
q033,method,hard,True,False,3,3000,1521.324
q034,experiment_setup,hard,True,True,4,3002,1599.368
q035,limitations,medium,True,False,4,3001,2242.717
q036,research_background,easy,True,False,3,3001,1434.909
q037,paper_contributions,easy,True,True,3,3001,2121.476
q038,algorithm_steps,hard,True,False,3,3001,2661.769
q039,experiment_results,hard,True,False,4,3001,1298.723
q040,limitations,hard,True,False,3,3001,1832.121
q041,research_background,easy,True,False,4,3001,1758.282
q042,paper_contributions,easy,True,False,5,3002,7169.602
q043,method,hard,True,False,4,3002,5360.363
q044,experiment_setup,hard,True,True,3,3002,1233.739
q045,limitations,hard,True,True,4,3002,1094.268
q046,research_background,easy,True,False,3,3001,1458.253
q047,paper_contributions,medium,True,True,4,3002,1235.638
q048,algorithm_steps,hard,True,True,3,3002,1745.714
q049,multi_paper_comparison,hard,True,True,3,3002,1844.487
q050,multi_paper_comparison,hard,True,True,3,3002,1753.926
