question_id,status,gold_answerable,predicted_answerable,gold_block_present,required_claim_coverage,citation_precision,citation_recall,unsupported_claim_count,total_latency_ms,input_tokens,output_tokens,retry_count,failure_reason
q001,COMPLETED,True,True,False,0.3333333333333333,0.0,0.0,3,20419.052,7376,336,0,
q002,COMPLETED,True,True,False,0.3333333333333333,0.0,0.0,4,22476.858,7721,520,0,
q003,COMPLETED,True,True,False,0.3333333333333333,0.0,0.0,1,13772.187,5904,140,1,
q004,COMPLETED,True,True,True,1.0,0.2857142857142857,0.4,5,28361.635,7566,720,0,
q005,COMPLETED,False,False,False,0.0,1.0,1.0,0,4386.594,3651,50,0,
q006,COMPLETED,True,True,True,0.3333333333333333,1.0,0.6666666666666666,0,13102.811,5242,251,0,
q007,COMPLETED,True,True,True,1.0,0.0,0.0,3,16692.746,6107,415,0,
q008,COMPLETED,True,True,True,0.3333333333333333,0.0,0.0,2,12139.054,5282,276,0,
q009,COMPLETED,True,True,False,0.3333333333333333,0.0,0.0,4,18571.268,5433,427,0,
q010,COMPLETED,True,True,True,1.0,0.0,0.0,3,25175.065,6189,523,0,
q011,COMPLETED,True,True,True,0.3333333333333333,1.0,0.3333333333333333,0,12161.879,5557,277,0,
q012,COMPLETED,True,True,False,0.6666666666666666,0.0,0.0,4,20818.529,5804,421,0,
q013,COMPLETED,True,True,True,0.6666666666666666,0.0,0.0,3,14541.645,6145,308,0,
q014,COMPLETED,True,True,True,0.3333333333333333,0.0,0.0,4,17401.453,5904,412,0,
q015,COMPLETED,True,True,True,0.3333333333333333,0.25,0.3333333333333333,3,22929.712,5595,591,0,
q016,COMPLETED,True,True,False,1.0,0.0,0.0,3,14911.625,7794,359,0,
q017,COMPLETED,True,True,False,0.3333333333333333,0.0,0.0,4,18289.765,7406,399,0,
q018,COMPLETED,True,True,False,0.3333333333333333,0.0,0.0,5,18006.665,7363,479,0,
q019,COMPLETED,True,True,False,0.0,0.0,0.0,6,27404.231,6281,756,0,
q020,COMPLETED,True,True,True,1.0,0.6666666666666666,0.5,5,52172.391,7520,1510,0,
q021,COMPLETED,True,True,False,0.3333333333333333,0.0,0.0,2,12685.914,7210,245,0,
q022,COMPLETED,True,False,False,0.0,0.0,0.0,0,4644.069,7138,43,0,
q023,COMPLETED,True,False,False,0.0,0.0,0.0,0,3119.243,6205,41,0,
q024,COMPLETED,True,False,False,0.0,0.0,0.0,0,3115.563,4797,42,0,
q025,COMPLETED,True,True,True,0.3333333333333333,0.42857142857142855,0.75,4,33876.9,5489,791,0,
q026,COMPLETED,True,True,False,0.0,0.0,0.0,3,7420.253,5968,247,0,
q027,COMPLETED,True,True,False,0.0,0.0,0.0,3,21399.402,6952,648,0,
q028,COMPLETED,True,True,True,1.0,0.0,0.0,3,13892.205,4832,319,0,
q029,COMPLETED,True,True,False,0.0,0.0,0.0,6,19502.816,6314,633,0,
q030,COMPLETED,False,False,False,0.0,1.0,1.0,0,2936.219,4853,38,0,
q031,COMPLETED,True,True,False,0.3333333333333333,0.0,0.0,2,12887.175,7292,281,0,
q032,COMPLETED,True,True,False,0.0,0.0,0.0,4,14699.102,6344,428,0,
q033,COMPLETED,True,True,False,0.3333333333333333,0.0,0.0,4,15788.693,6141,468,0,
q034,COMPLETED,True,True,True,0.6666666666666666,0.7777777777777778,0.3333333333333333,2,38900.177,6805,994,0,
q035,COMPLETED,True,True,False,0.0,0.0,0.0,2,12373.773,6674,259,0,
q036,COMPLETED,True,True,False,0.3333333333333333,0.0,0.0,3,11804.859,6111,280,0,
q037,COMPLETED,True,False,False,0.0,0.0,0.0,0,3959.461,6332,39,0,
q038,COMPLETED,True,True,True,0.6666666666666666,0.0,0.0,2,12351.644,4815,275,0,
q039,COMPLETED,True,True,False,0.6666666666666666,0.0,0.0,6,29373.947,6211,788,0,
q040,COMPLETED,True,True,True,0.0,0.0,0.0,4,16264.529,5328,395,0,
q041,COMPLETED,True,True,False,0.3333333333333333,0.0,0.0,1,7663.548,6502,144,0,
q042,COMPLETED,True,True,False,0.0,0.0,0.0,6,24458.077,5418,613,0,
q043,COMPLETED,True,False,False,0.0,0.0,0.0,0,3973.025,6147,42,0,
q044,COMPLETED,True,True,True,0.6666666666666666,0.2857142857142857,0.3333333333333333,5,30703.447,5554,810,0,
q045,COMPLETED,True,True,True,1.0,0.25,1.0,9,42170.931,7130,1133,0,
q046,COMPLETED,True,True,True,0.6666666666666666,0.0,0.0,4,13805.814,6558,337,0,
q047,COMPLETED,True,False,False,0.0,0.0,0.0,0,7457.412,6052,37,0,
q048,COMPLETED,True,True,True,0.0,0.0,0.0,2,9809.192,6523,225,0,
q049,COMPLETED,True,True,True,0.3333333333333333,0.0,0.0,4,91436.551,5951,564,1,
q050,COMPLETED,True,True,True,1.0,0.0,0.0,4,18843.593,4467,424,0,
