baseline_any_valid_status,baseline_citation_count,candidate_citation_slot_availability,candidate_comparison_sides,candidate_covered_obligations,candidate_lost_during_fallback,candidate_numeric_anchors,candidate_rejected_at_admission,candidate_rejected_by_citation_cap,candidate_rejected_by_replacement_proof,candidate_rejected_by_role_assignment,candidate_rejected_by_set_builder,comparison_obligations,completeness_scorer_result,final_citation_count,full_v4_admitted_candidates,full_v4_any_valid_status,full_v4_role_assignments,full_v4_selected_set,generic_repair_category,no_online_gold_dependency,numeric_obligations,offline_relation_scorer_result,oracle_candidate_upper_bound_status,oracle_valid_candidate_set,primary_gap_cause,question_id,required_claim_id,secondary_gap_causes,uncovered_obligations_after,uncovered_obligations_before
True,1,2,True,['ob-01'],False,True,False,False,False,False,False,False,aligned,1,"['E001', 'E004', 'E006']",True,see set-completion replay traces,['E004'],none,True,False,True,True,['E004'],no_gap,q001,cl-q001-b93fe64266ba6940d2a1,[],[],[]
True,1,2,True,['ob-01'],False,True,False,False,False,False,False,False,aligned,1,"['E001', 'E003', 'E015']",True,see set-completion replay traces,['E003'],none,True,False,True,True,['E003'],no_gap,q001,cl-q001-bc33bddd93356fce6273,[],[],[]
False,1,2,True,['ob-01'],False,True,False,False,False,False,True,False,aligned,1,"['E001', 'E003', 'E005']",False,see set-completion replay traces,['E003'],set_completion,True,False,True,True,['E005'],complementary_set_not_enumerated,q001,cl-q001-c41ea3191cab92907d83,[],[],[]
False,1,2,True,['ob-01'],False,True,False,False,False,False,True,False,aligned,1,"['E001', 'E002', 'E005']",False,see set-completion replay traces,['E001'],set_completion,True,False,True,True,['E005'],complementary_set_not_enumerated,q002,cl-q002-023231b350a389faa754,[],[],[]
True,1,2,True,"['ob-01', 'ob-02']",False,True,False,False,False,False,False,False,aligned,1,"['E004', 'E005', 'E018']",True,see set-completion replay traces,['E005'],none,True,False,True,True,['E005'],no_gap,q002,cl-q002-3cab1a55474dcd47a64a,[],[],[]
True,1,1,True,"['ob-01', 'ob-02']",False,True,False,False,False,False,False,False,aligned,2,"['E001', 'E003', 'E005']",True,see set-completion replay traces,"['E005', 'E001']",none,True,False,True,True,['E005'],no_gap,q002,cl-q002-8a1d729edcaafb379a20,[],[],[]
True,1,2,True,"['ob-01', 'ob-02']",False,True,False,False,False,False,False,False,aligned,1,"['E001', 'E015', 'E016']",True,see set-completion replay traces,['E016'],none,True,False,True,True,['E016'],no_gap,q004,cl-q004-a9fa27d46042c7d9ac2b,[],[],[]
False,0,3,True,['ob-01'],False,True,False,False,False,False,False,False,aligned,0,"['E001', 'E005', 'E006']",False,see set-completion replay traces,[],none,True,True,False,False,[],no_gap,q004,cl-q004-ba317f113c67f72f7260,[],"['ob-02', 'ob-03']","['ob-01', 'ob-02', 'ob-03', '8']"
True,1,2,True,"['ob-01', 'ob-02']",False,True,False,False,False,False,False,False,aligned,1,"['E001', 'E014', 'E016']",True,see set-completion replay traces,['E016'],none,True,True,True,True,['E016'],no_gap,q004,cl-q004-fe7e6b540d1b2bf1d6cf,[],[],[]
False,1,2,True,['ob-01'],False,True,False,False,False,False,False,False,aligned,1,"['E006', 'E007', 'E011']",False,see set-completion replay traces,['E007'],none,True,False,False,False,[],no_gap,q007,cl-q007-0dc4946bfe1085fe36ce,[],[],[]
