question_id,status,gold_answerable,predicted_answerable,gold_block_present,claim_count,citation_count,citation_precision,citation_recall,total_tokens,total_latency_ms,failure_reason
q001,COMPLETED,True,True,False,3,3,0.0,0.0,24473,7662.874,
q002,COMPLETED,True,True,False,3,3,0.0,0.0,5644,15075.227,
q003,COMPLETED,True,True,False,3,3,0.0,0.0,7977,15713.384,
q004,COMPLETED,True,True,True,3,3,0.3333333333333333,0.2,6658,12992.211,
q005,COMPLETED,False,False,False,0,0,1.0,1.0,5516,5389.269,
q006,COMPLETED,True,True,True,3,3,0.3333333333333333,0.3333333333333333,6879,13826.232,
q007,COMPLETED,True,True,True,3,3,0.3333333333333333,0.25,7543,15860.349,
q008,COMPLETED,True,True,True,3,3,0.3333333333333333,0.25,7601,15956.326,
q009,COMPLETED,True,True,False,3,3,0.0,0.0,6660,15654.505,
q010,COMPLETED,True,True,False,2,2,0.0,0.0,7069,11940.623,
q011,COMPLETED,True,True,False,3,3,0.0,0.0,5635,15676.049,
q012,COMPLETED,True,True,False,3,3,0.0,0.0,6528,15546.513,
q013,COMPLETED,True,True,False,3,3,0.0,0.0,6670,15752.461,
q014,FAILED,True,,,0,0,,,,,"{""error"":{""code"":""HTTP_503"",""message"":{""code"":""CLAIM_QA_CITATION_VALIDATION_ERROR"",""message"":""SiliconFlow QA failed after 1 request(s): citation_validation:page"",""stage"":""CLAIM_CITATION_VALIDATE"",""api_request_count"":1,""retry_reasons"":[""citation_validation:page""],""rate_limit_events"":0,""response_audit_path"":""/app/artifacts/private/qa-response-audits/q014-full-qa-rerun-q014-1784458604.json""},""request_id"":""906cc7b1-d5aa-4e33-86c3-9fa0d44a974f""}}"
q015,COMPLETED,True,True,False,2,2,0.0,0.0,5160,21838.498,
q016,COMPLETED,True,True,False,3,3,0.0,0.0,9042,16205.14,
q017,COMPLETED,True,True,True,3,3,1.0,1.0,7715,21486.628,
q018,COMPLETED,True,True,False,3,3,0.0,0.0,8552,18418.729,
q019,COMPLETED,True,True,True,3,3,0.6666666666666666,0.5,10279,13791.01,
q020,FAILED,True,,,0,0,,,,,"{""error"":{""code"":""HTTP_503"",""message"":{""code"":""CLAIM_QA_JSON_PARSE_ERROR"",""message"":""SiliconFlow QA failed after 1 request(s): malformed_json"",""stage"":""LLM_JSON_PARSE"",""api_request_count"":1,""retry_reasons"":[""malformed_json""],""rate_limit_events"":0,""response_audit_path"":""/app/artifacts/private/qa-response-audits/q020-full-qa-rerun-q020-1784458716.json""},""request_id"":""451b2f7c-cb49-40ff-92f9-ecee561e5a4b""}}"
q021,COMPLETED,True,True,False,3,3,0.0,0.0,4625,16219.96,
q022,COMPLETED,True,True,True,3,3,0.3333333333333333,0.25,6300,15282.151,
q023,COMPLETED,True,True,False,3,3,0.0,0.0,4449,15391.308,
q024,COMPLETED,True,True,True,3,3,0.6666666666666666,0.5,5185,17543.399,
q025,COMPLETED,True,True,True,3,3,0.3333333333333333,0.25,4068,13391.871,
q026,COMPLETED,True,True,False,3,3,0.0,0.0,5996,12975.992,
q027,COMPLETED,True,True,False,3,3,0.0,0.0,6099,16170.971,
q028,COMPLETED,True,True,False,3,3,0.0,0.0,5017,17895.937,
q029,FAILED,True,,,0,0,,,,,"{""error"":{""code"":""HTTP_503"",""message"":{""code"":""CLAIM_QA_CITATION_VALIDATION_ERROR"",""message"":""SiliconFlow QA failed after 1 request(s): citation_validation:page"",""stage"":""CLAIM_CITATION_VALIDATE"",""api_request_count"":1,""retry_reasons"":[""citation_validation:page""],""rate_limit_events"":0,""response_audit_path"":""/app/artifacts/private/qa-response-audits/q029-full-qa-rerun-q029-1784458934.json""},""request_id"":""212b88d4-ce4c-47eb-9151-654828658b5e""}}"
q030,COMPLETED,False,False,False,0,0,1.0,1.0,6247,4425.742,
