ambiguity,ambiguity_reason,answerable,block_id,block_type,claim_role,duplicated_across_claims,duplicated_within_claim,evidence_corpus_triple_exists,exact_block_available,exclusion_reason,included_in_claim_metric,included_in_primary_question_metric,included_in_v2,page,page_only_relation,paper_id,question_id,relation_key,relation_source,required_claim_id
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000022,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1706.03762,q001,q001|cl-q001-bc33bddd93356fce6273|1706.03762|2|b000022,claim-units-v1 question-level candidate Gold mapping,cl-q001-bc33bddd93356fce6273
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000025,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1706.03762,q001,q001|cl-q001-bc33bddd93356fce6273|1706.03762|2|b000025,claim-units-v1 question-level candidate Gold mapping,cl-q001-bc33bddd93356fce6273
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000027,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1706.03762,q001,q001|cl-q001-bc33bddd93356fce6273|1706.03762|2|b000027,claim-units-v1 question-level candidate Gold mapping,cl-q001-bc33bddd93356fce6273
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000022,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1706.03762,q001,q001|cl-q001-b93fe64266ba6940d2a1|1706.03762|2|b000022,claim-units-v1 question-level candidate Gold mapping,cl-q001-b93fe64266ba6940d2a1
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000025,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1706.03762,q001,q001|cl-q001-b93fe64266ba6940d2a1|1706.03762|2|b000025,claim-units-v1 question-level candidate Gold mapping,cl-q001-b93fe64266ba6940d2a1
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000027,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1706.03762,q001,q001|cl-q001-b93fe64266ba6940d2a1|1706.03762|2|b000027,claim-units-v1 question-level candidate Gold mapping,cl-q001-b93fe64266ba6940d2a1
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000022,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1706.03762,q001,q001|cl-q001-c41ea3191cab92907d83|1706.03762|2|b000022,claim-units-v1 question-level candidate Gold mapping,cl-q001-c41ea3191cab92907d83
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000025,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1706.03762,q001,q001|cl-q001-c41ea3191cab92907d83|1706.03762|2|b000025,claim-units-v1 question-level candidate Gold mapping,cl-q001-c41ea3191cab92907d83
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000027,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1706.03762,q001,q001|cl-q001-c41ea3191cab92907d83|1706.03762|2|b000027,claim-units-v1 question-level candidate Gold mapping,cl-q001-c41ea3191cab92907d83
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000025,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1706.03762,q002,q002|cl-q002-023231b350a389faa754|1706.03762|2|b000025,claim-units-v1 question-level candidate Gold mapping,cl-q002-023231b350a389faa754
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000025,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1706.03762,q002,q002|cl-q002-3cab1a55474dcd47a64a|1706.03762|2|b000025,claim-units-v1 question-level candidate Gold mapping,cl-q002-3cab1a55474dcd47a64a
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000025,paragraph,report_result,True,False,True,True,claim-level relation ambiguity,False,True,True,2,False,1706.03762,q002,q002|cl-q002-8a1d729edcaafb379a20|1706.03762|2|b000025,claim-units-v1 question-level candidate Gold mapping,cl-q002-8a1d729edcaafb379a20
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000103,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,1706.03762,q004,q004|cl-q004-fe7e6b540d1b2bf1d6cf|1706.03762|7|b000103,claim-units-v1 question-level candidate Gold mapping,cl-q004-fe7e6b540d1b2bf1d6cf
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000105,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,1706.03762,q004,q004|cl-q004-fe7e6b540d1b2bf1d6cf|1706.03762|7|b000105,claim-units-v1 question-level candidate Gold mapping,cl-q004-fe7e6b540d1b2bf1d6cf
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000107,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,1706.03762,q004,q004|cl-q004-fe7e6b540d1b2bf1d6cf|1706.03762|7|b000107,claim-units-v1 question-level candidate Gold mapping,cl-q004-fe7e6b540d1b2bf1d6cf
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000109,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,1706.03762,q004,q004|cl-q004-fe7e6b540d1b2bf1d6cf|1706.03762|7|b000109,claim-units-v1 question-level candidate Gold mapping,cl-q004-fe7e6b540d1b2bf1d6cf
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000112,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,1706.03762,q004,q004|cl-q004-fe7e6b540d1b2bf1d6cf|1706.03762|7|b000112,claim-units-v1 question-level candidate Gold mapping,cl-q004-fe7e6b540d1b2bf1d6cf
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000103,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,1706.03762,q004,q004|cl-q004-a9fa27d46042c7d9ac2b|1706.03762|7|b000103,claim-units-v1 question-level candidate Gold mapping,cl-q004-a9fa27d46042c7d9ac2b
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000105,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,1706.03762,q004,q004|cl-q004-a9fa27d46042c7d9ac2b|1706.03762|7|b000105,claim-units-v1 question-level candidate Gold mapping,cl-q004-a9fa27d46042c7d9ac2b
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000107,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,1706.03762,q004,q004|cl-q004-a9fa27d46042c7d9ac2b|1706.03762|7|b000107,claim-units-v1 question-level candidate Gold mapping,cl-q004-a9fa27d46042c7d9ac2b
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000109,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,1706.03762,q004,q004|cl-q004-a9fa27d46042c7d9ac2b|1706.03762|7|b000109,claim-units-v1 question-level candidate Gold mapping,cl-q004-a9fa27d46042c7d9ac2b
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000112,paragraph,unknown,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,1706.03762,q004,q004|cl-q004-a9fa27d46042c7d9ac2b|1706.03762|7|b000112,claim-units-v1 question-level candidate Gold mapping,cl-q004-a9fa27d46042c7d9ac2b
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000103,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,1706.03762,q004,q004|cl-q004-ba317f113c67f72f7260|1706.03762|7|b000103,claim-units-v1 question-level candidate Gold mapping,cl-q004-ba317f113c67f72f7260
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000105,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,1706.03762,q004,q004|cl-q004-ba317f113c67f72f7260|1706.03762|7|b000105,claim-units-v1 question-level candidate Gold mapping,cl-q004-ba317f113c67f72f7260
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000107,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,1706.03762,q004,q004|cl-q004-ba317f113c67f72f7260|1706.03762|7|b000107,claim-units-v1 question-level candidate Gold mapping,cl-q004-ba317f113c67f72f7260
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000109,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,1706.03762,q004,q004|cl-q004-ba317f113c67f72f7260|1706.03762|7|b000109,claim-units-v1 question-level candidate Gold mapping,cl-q004-ba317f113c67f72f7260
True,Gold blocks were copied as question-level candidates to every required claim; claim-level mapping is explicitly pending review.,True,b000112,paragraph,explain_method,True,False,True,True,claim-level relation ambiguity,False,True,True,7,False,1706.03762,q004,q004|cl-q004-ba317f113c67f72f7260|1706.03762|7|b000112,claim-units-v1 question-level candidate Gold mapping,cl-q004-ba317f113c67f72f7260
