question_id,category,difficulty,retrieval_scope,gold_page_hit,initial_failure_category,human_review_status,human_failure_category,reviewer,reviewed_at,review_notes
q002,paper_contributions,easy,paper,True,fusion_rank_failure,reviewed,page_hit_block_miss,OpenAI GPT-5.6 Thinking (AI-assisted manual evidence adjudication),2026-07-15,The correct page is present but the exact supporting block is not selected. This is a within-page ranking/packing failure rather than absence of relevant material.
q007,paper_contributions,hard,paper,True,block_type_filter_error,reviewed,block_type_filter_error,OpenAI GPT-5.6 Thinking (AI-assisted manual evidence adjudication),2026-07-15,"Relevant Gold evidence was excluded or suppressed by evidence-role/block-type filtering. Question-level Gold spans multiple claims, so a multi-block set is generally needed; selected context does not fully discharge all required claims."
q009,experiment_results,easy,paper,False,block_type_filter_error,reviewed,block_type_filter_error,OpenAI GPT-5.6 Thinking (AI-assisted manual evidence adjudication),2026-07-15,"Relevant Gold evidence was excluded or suppressed by evidence-role/block-type filtering. Question-level Gold spans multiple claims, so a multi-block set is generally needed; selected context does not fully discharge all required claims."
q012,paper_contributions,hard,paper,False,fusion_rank_failure,reviewed,fusion_rank_failure,OpenAI GPT-5.6 Thinking (AI-assisted manual evidence adjudication),2026-07-15,Gold evidence is semantically appropriate but ranked outside the selected context. The failure is attributable primarily to candidate fusion/ranking; selected evidence is at best incomplete for the required claims.
q013,method,easy,paper,True,block_type_filter_error,reviewed,block_type_filter_error,OpenAI GPT-5.6 Thinking (AI-assisted manual evidence adjudication),2026-07-15,"Relevant Gold evidence was excluded or suppressed by evidence-role/block-type filtering. Question-level Gold spans multiple claims, so a multi-block set is generally needed; selected context does not fully discharge all required claims."
q015,limitations,hard,paper,False,fusion_rank_failure,reviewed,fusion_rank_failure,OpenAI GPT-5.6 Thinking (AI-assisted manual evidence adjudication),2026-07-15,Gold evidence is semantically appropriate but ranked outside the selected context. The failure is attributable primarily to candidate fusion/ranking; selected evidence is at best incomplete for the required claims.
q016,research_background,easy,paper,False,fusion_rank_failure,reviewed,fusion_rank_failure,OpenAI GPT-5.6 Thinking (AI-assisted manual evidence adjudication),2026-07-15,Gold evidence is semantically appropriate but ranked outside the selected context. The failure is attributable primarily to candidate fusion/ranking; selected evidence is at best incomplete for the required claims.
q019,experiment_results,hard,paper,False,block_type_filter_error,reviewed,block_type_filter_error,OpenAI GPT-5.6 Thinking (AI-assisted manual evidence adjudication),2026-07-15,"Relevant Gold evidence was excluded or suppressed by evidence-role/block-type filtering. Question-level Gold spans multiple claims, so a multi-block set is generally needed; selected context does not fully discharge all required claims."
q021,research_background,medium,paper,True,page_hit_block_miss,reviewed,page_hit_block_miss,OpenAI GPT-5.6 Thinking (AI-assisted manual evidence adjudication),2026-07-15,The correct page is present but the exact supporting block is not selected. This is a within-page ranking/packing failure rather than absence of relevant material.
q026,research_background,easy,paper,True,block_type_filter_error,reviewed,block_type_filter_error,OpenAI GPT-5.6 Thinking (AI-assisted manual evidence adjudication),2026-07-15,"Relevant Gold evidence was excluded or suppressed by evidence-role/block-type filtering. Question-level Gold spans multiple claims, so a multi-block set is generally needed; selected context does not fully discharge all required claims."
q029,experiment_results,hard,paper,True,fusion_rank_failure,reviewed,page_hit_block_miss,OpenAI GPT-5.6 Thinking (AI-assisted manual evidence adjudication),2026-07-15,The correct page is present but the exact supporting block is not selected. This is a within-page ranking/packing failure rather than absence of relevant material.
q031,research_background,easy,paper,True,fusion_rank_failure,reviewed,page_hit_block_miss,OpenAI GPT-5.6 Thinking (AI-assisted manual evidence adjudication),2026-07-15,The correct page is present but the exact supporting block is not selected. This is a within-page ranking/packing failure rather than absence of relevant material.
q032,paper_contributions,easy,paper,True,page_hit_block_miss,reviewed,page_hit_block_miss,OpenAI GPT-5.6 Thinking (AI-assisted manual evidence adjudication),2026-07-15,The correct page is present but the exact supporting block is not selected. This is a within-page ranking/packing failure rather than absence of relevant material.
q033,method,hard,paper,True,block_type_filter_error,reviewed,block_type_filter_error,OpenAI GPT-5.6 Thinking (AI-assisted manual evidence adjudication),2026-07-15,"Relevant Gold evidence was excluded or suppressed by evidence-role/block-type filtering. Question-level Gold spans multiple claims, so a multi-block set is generally needed; selected context does not fully discharge all required claims."
q034,experiment_setup,hard,paper,False,fusion_rank_failure,reviewed,fusion_rank_failure,OpenAI GPT-5.6 Thinking (AI-assisted manual evidence adjudication),2026-07-15,Gold evidence is semantically appropriate but ranked outside the selected context. The failure is attributable primarily to candidate fusion/ranking; selected evidence is at best incomplete for the required claims.
q039,experiment_results,hard,paper,True,fusion_rank_failure,reviewed,page_hit_block_miss,OpenAI GPT-5.6 Thinking (AI-assisted manual evidence adjudication),2026-07-15,The correct page is present but the exact supporting block is not selected. This is a within-page ranking/packing failure rather than absence of relevant material.
q050,multi_paper_comparison,hard,multi_paper,True,block_type_filter_error,reviewed,parsing_boundary_error,OpenAI GPT-5.6 Thinking (AI-assisted manual evidence adjudication),2026-07-15,"Gold set mixes substantive architecture blocks with author/formula fragments and duplicated block IDs across two papers. The selected BERT evidence is relevant, but complete comparison needs clean evidence from both papers. Treat as parsing/Gold granularity plus retrieval allocation issue."
