question_id,context_mode,status,claim_coverage,exact_precision,page_precision,semantic_precision,citation_recall,distractors,tokens,latency_ms,failure_reason
q001,retrieved,COMPLETED,0.3333333333333333,0.0,0.0,1.0,0.0,0,7712,20419.052,
q002,retrieved,COMPLETED,0.3333333333333333,0.0,0.0,0.75,0.0,0,8241,22476.858,
q003,retrieved,COMPLETED,0.3333333333333333,0.0,0.0,1.0,0.0,0,6044,13772.187,
q001,oracle_gold_only,COMPLETED,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0,1018,9894.926,
q002,oracle_gold_only,COMPLETED,0.3333333333333333,1.0,1.0,1.0,1.0,0,751,13320.763,
q003,oracle_gold_only,COMPLETED,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0,840,9521.845,
q001,oracle_gold_plus_distractors,COMPLETED,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,6,9768,8093.21,
q002,oracle_gold_plus_distractors,COMPLETED,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,7,11963,6347.533,
q003,oracle_gold_plus_distractors,COMPLETED,0.0,0.0,1.0,1.0,0.0,5,4284,5319.55,
q001,retrieved_plus_missing_gold,COMPLETED,0.6666666666666666,0.0,0.0,0.0,0.0,9,12405,20124.527,
q002,retrieved_plus_missing_gold,COMPLETED,0.6666666666666666,0.0,0.16666666666666666,1.0,0.0,8,12823,16597.77,
q003,retrieved_plus_missing_gold,COMPLETED,0.3333333333333333,0.0,0.0,1.0,0.0,8,10084,3381.895,
q004,retrieved,COMPLETED,1.0,0.42857142857142855,0.42857142857142855,1.0,0.4,0,8286,28361.635,
q006,retrieved,COMPLETED,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0,5493,13102.811,
q007,retrieved,COMPLETED,1.0,0.0,1.0,1.0,0.0,0,6522,16692.746,
q008,retrieved,COMPLETED,0.3333333333333333,0.0,0.0,0.5,0.0,0,5558,12139.054,
q009,retrieved,COMPLETED,0.3333333333333333,0.0,0.0,1.0,0.0,0,5860,18571.268,
q010,retrieved,COMPLETED,1.0,0.0,0.3333333333333333,1.0,0.0,0,6712,25175.065,
q011,retrieved,COMPLETED,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0,5834,12161.879,
q004,oracle_gold_only,COMPLETED,0.0,0,0,0,0.0,0,983,2125.587,
q006,oracle_gold_only,COMPLETED,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0,1181,13345.864,
q007,oracle_gold_only,COMPLETED,1.0,1.0,1.0,1.0,1.0,0,1454,20272.053,
q008,oracle_gold_only,COMPLETED,1.0,1.0,1.0,1.0,0.75,0,1436,17908.464,
q009,oracle_gold_only,COMPLETED,1.0,1.0,1.0,1.0,0.8333333333333334,0,2235,34396.961,
q010,oracle_gold_only,COMPLETED,1.0,1.0,1.0,1.0,1.0,0,1044,11562.88,
q011,oracle_gold_only,COMPLETED,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0,1070,7363.6,
q004,oracle_gold_plus_distractors,COMPLETED,0.3333333333333333,0.8,0.8,1.0,0.8,3,3618,18597.326,
q006,oracle_gold_plus_distractors,COMPLETED,0.0,1.0,1.0,1.0,0.6666666666666666,5,5595,9301.529,
q007,oracle_gold_plus_distractors,COMPLETED,1.0,1.0,1.0,1.0,1.0,4,4446,19657.104,
q008,oracle_gold_plus_distractors,COMPLETED,0.6666666666666666,1.0,1.0,1.0,0.5,4,4886,14940.703,
q009,oracle_gold_plus_distractors,COMPLETED,1.0,1.0,1.0,1.0,0.8333333333333334,2,3564,26715.892,
q010,oracle_gold_plus_distractors,COMPLETED,0.6666666666666666,0.4,0.4,1.0,0.5,7,5694,23031.912,
q011,oracle_gold_plus_distractors,COMPLETED,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,5,3641,14731.066,
q004,retrieved_plus_missing_gold,COMPLETED,0.6666666666666666,0.25,0.5,1.0,0.4,8,12492,7371.668,
q006,retrieved_plus_missing_gold,COMPLETED,0.3333333333333333,0.5,1.0,1.0,0.3333333333333333,8,6644,12212.122,
q007,retrieved_plus_missing_gold,COMPLETED,1.0,0.3333333333333333,1.0,1.0,0.25,8,6823,19199.423,
q008,retrieved_plus_missing_gold,COMPLETED,0.3333333333333333,0.0,0.0,0.5,0.0,8,7211,11147.861,
q009,retrieved_plus_missing_gold,COMPLETED,0.0,0.0,0.0,0.8,0.0,8,8634,191705.999,
q010,retrieved_plus_missing_gold,COMPLETED,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,9,6933,20138.007,
q011,retrieved_plus_missing_gold,COMPLETED,0.3333333333333333,0.0,1.0,1.0,0.0,8,5988,7765.186,
q012,retrieved,COMPLETED,0.6666666666666666,0.0,0.0,1.0,0.0,0,6225,20818.529,
q013,retrieved,COMPLETED,0.6666666666666666,0.0,0.0,1.0,0.0,0,6453,14541.645,
q014,retrieved,COMPLETED,0.3333333333333333,0.0,0.0,0.75,0.0,0,6316,17401.453,
q015,retrieved,COMPLETED,0.3333333333333333,0.25,1.0,1.0,0.3333333333333333,0,6186,22929.712,
q016,retrieved,COMPLETED,1.0,0.0,0.0,0.6666666666666666,0.0,0,8153,14911.625,
q017,retrieved,COMPLETED,0.3333333333333333,0.0,0.5,1.0,0.0,0,7805,18289.765,
q018,retrieved,COMPLETED,0.3333333333333333,0.0,0.0,1.0,0.0,0,7842,18006.665,
q019,retrieved,COMPLETED,0.0,0.0,0.0,0.8333333333333334,0.0,0,7037,27404.231,
q020,retrieved,COMPLETED,1.0,0.6666666666666666,0.6666666666666666,1.0,0.5,0,9030,52172.391,
q021,retrieved,COMPLETED,0.3333333333333333,0.0,0.0,1.0,0.0,0,7455,12685.914,
q022,retrieved,COMPLETED,0.0,0,0,0,0.0,0,7181,4644.069,
q023,retrieved,COMPLETED,0.0,0,0,0,0.0,0,6246,3119.243,
q024,retrieved,COMPLETED,0.0,0,0,0,0.0,0,4839,3115.563,
q025,retrieved,COMPLETED,0.3333333333333333,0.42857142857142855,0.5714285714285714,1.0,0.75,0,6280,33876.9,
q026,retrieved,COMPLETED,0.0,0.0,0.0,0.3333333333333333,0.0,0,6215,7420.253,
q027,retrieved,COMPLETED,0.0,0.0,0.0,1.0,0.0,0,7600,21399.402,
q028,retrieved,COMPLETED,1.0,0.0,1.0,1.0,0.0,0,5151,13892.205,
q029,retrieved,COMPLETED,0.0,0.0,0.0,1.0,0.0,0,6947,19502.816,
q031,retrieved,COMPLETED,0.3333333333333333,0.0,0.5,1.0,0.0,0,7573,12887.175,
q032,retrieved,COMPLETED,0.0,0.0,0.0,0.75,0.0,0,6772,14699.102,
q033,retrieved,COMPLETED,0.3333333333333333,0.0,0.0,1.0,0.0,0,6609,15788.693,
q034,retrieved,COMPLETED,0.6666666666666666,0.7777777777777778,0.7777777777777778,1.0,0.3333333333333333,0,7799,38900.177,
q035,retrieved,COMPLETED,0.0,0.0,0.0,1.0,0.0,0,6933,12373.773,
q036,retrieved,COMPLETED,0.3333333333333333,0.0,0.0,1.0,0.0,0,6391,11804.859,
q037,retrieved,COMPLETED,0.0,0,0,0,0.0,0,6371,3959.461,
q038,retrieved,COMPLETED,0.6666666666666666,0.0,0.0,1.0,0.0,0,5090,12351.644,
q039,retrieved,COMPLETED,0.6666666666666666,0.0,0.0,0.8333333333333334,0.0,0,6999,29373.947,
q040,retrieved,COMPLETED,0.0,0.0,0.5,1.0,0.0,0,5723,16264.529,
q041,retrieved,COMPLETED,0.3333333333333333,0.0,0.0,1.0,0.0,0,6646,7663.548,
q042,retrieved,COMPLETED,0.0,0.0,0.0,1.0,0.0,0,6031,24458.077,
q043,retrieved,COMPLETED,0.0,0,0,0,0.0,0,6189,3973.025,
q044,retrieved,COMPLETED,0.6666666666666666,0.2857142857142857,0.2857142857142857,1.0,0.3333333333333333,0,6364,30703.447,
q045,retrieved,COMPLETED,1.0,0.25,0.6666666666666666,1.0,1.0,0,8263,42170.931,
q046,retrieved,COMPLETED,0.6666666666666666,0.0,0.25,0.75,0.0,0,6895,13805.814,
q047,retrieved,COMPLETED,0.0,0,0,0,0.0,0,6089,7457.412,
q048,retrieved,COMPLETED,0.0,0.0,1.0,1.0,0.0,0,6748,9809.192,
q049,retrieved,COMPLETED,0.3333333333333333,0.0,0.5,1.0,0.0,0,6515,91436.551,
q050,retrieved,COMPLETED,1.0,0.0,0.75,1.0,0.0,0,4891,18843.593,
q012,oracle_gold_only,COMPLETED,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0,1408,16100.144,
q013,oracle_gold_only,COMPLETED,1.0,1.0,1.0,1.0,0.5,0,1253,13363.723,
q014,oracle_gold_only,COMPLETED,0.6666666666666666,1.0,1.0,1.0,1.0,0,2146,25181.431,
q015,oracle_gold_only,COMPLETED,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0,1331,14406.235,
q016,oracle_gold_only,COMPLETED,0.6666666666666666,1.0,1.0,1.0,1.0,0,1130,22496.579,
q017,oracle_gold_only,COMPLETED,0.3333333333333333,1.0,1.0,1.0,1.0,0,885,12926.803,
q018,oracle_gold_only,COMPLETED,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0,1235,19159.532,
q019,oracle_gold_only,COMPLETED,0.0,0,0,0,0.0,0,630,2119.555,
q020,oracle_gold_only,COMPLETED,0.6666666666666666,1.0,1.0,1.0,0.5,0,1498,22089.476,
q021,oracle_gold_only,COMPLETED,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0,1546,12766.126,
q022,oracle_gold_only,COMPLETED,0.3333333333333333,1.0,1.0,1.0,1.0,0,1489,17579.453,
q023,oracle_gold_only,COMPLETED,0.0,1.0,1.0,1.0,0.2,0,1744,6522.611,
q024,oracle_gold_only,COMPLETED,0.3333333333333333,1.0,1.0,1.0,0.75,0,1592,18603.742,
q025,oracle_gold_only,COMPLETED,0.6666666666666666,1.0,1.0,1.0,0.75,0,1758,17681.369,
q026,oracle_gold_only,COMPLETED,0.0,1.0,1.0,1.0,0.3333333333333333,0,1234,14303.296,
q027,oracle_gold_only,COMPLETED,1.0,1.0,1.0,1.0,0.75,0,1568,20651.682,
q028,oracle_gold_only,COMPLETED,0.0,1.0,1.0,1.0,0.3333333333333333,0,780,4814.394,
q029,oracle_gold_only,COMPLETED,0.6666666666666666,1.0,1.0,1.0,0.5,0,1469,16212.824,
q031,oracle_gold_only,COMPLETED,0.6666666666666666,1.0,1.0,1.0,0.5,0,1317,16964.921,
q032,oracle_gold_only,COMPLETED,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0,1538,21675.581,
q033,oracle_gold_only,COMPLETED,0.6666666666666666,1.0,1.0,1.0,0.5,0,1159,11194.878,
q034,oracle_gold_only,COMPLETED,0.3333333333333333,1.0,1.0,1.0,1.0,0,1788,33557.986,
q035,oracle_gold_only,COMPLETED,0.6666666666666666,1.0,1.0,1.0,1.0,0,917,13306.271,
q036,oracle_gold_only,COMPLETED,1.0,1.0,1.0,1.0,0.5,0,1178,11798.67,
q037,oracle_gold_only,COMPLETED,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0,2049,15880.536,
q038,oracle_gold_only,COMPLETED,0.6666666666666666,1.0,1.0,1.0,0.75,0,1186,14402.544,
q039,oracle_gold_only,COMPLETED,1.0,1.0,1.0,1.0,1.0,0,1920,27612.015,
q040,oracle_gold_only,COMPLETED,0.6666666666666666,1.0,1.0,1.0,1.0,0,1275,14095.005,
q041,oracle_gold_only,COMPLETED,0.6666666666666666,1.0,1.0,1.0,1.0,0,1034,7232.088,
q042,oracle_gold_only,COMPLETED,0.6666666666666666,1.0,1.0,1.0,1.0,0,2163,26897.243,
q043,oracle_gold_only,COMPLETED,0.0,1.0,1.0,1.0,0.5,0,1679,10521.982,
q044,oracle_gold_only,COMPLETED,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0,1841,21311.69,
q045,oracle_gold_only,COMPLETED,0.6666666666666666,1.0,1.0,1.0,1.0,0,1580,29900.371,
q046,oracle_gold_only,COMPLETED,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0,1071,5389.416,
q047,oracle_gold_only,COMPLETED,1.0,1.0,1.0,1.0,0.6666666666666666,0,1344,19014.125,
q048,oracle_gold_only,COMPLETED,0.3333333333333333,1.0,1.0,1.0,0.5,0,1033,8402.301,
q049,oracle_gold_only,COMPLETED,0.0,1.0,1.0,1.0,0.2,0,1395,16186.916,
q050,oracle_gold_only,COMPLETED,0.3333333333333333,1.0,1.0,1.0,0.4,0,1056,10822.207,
q012,oracle_gold_plus_distractors,COMPLETED,0.6666666666666666,0.8,0.8,1.0,0.6666666666666666,6,4990,17897.021,
q013,oracle_gold_plus_distractors,COMPLETED,1.0,1.0,1.0,1.0,0.5,5,5261,14278.217,
q014,oracle_gold_plus_distractors,COMPLETED,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.8,3,3864,33176.493,
q015,oracle_gold_plus_distractors,COMPLETED,0.6666666666666666,0.6,0.6,1.0,0.6666666666666666,6,4946,17307.943,
q016,oracle_gold_plus_distractors,COMPLETED,1.0,1.0,1.0,1.0,1.0,8,7572,16658.444,
q017,oracle_gold_plus_distractors,COMPLETED,0.3333333333333333,1.0,1.0,1.0,1.0,9,7389,15664.816,
q018,oracle_gold_plus_distractors,COMPLETED,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,6,6991,16419.083,
